timestamp,loginPageLoadMs,loginPageLoadSeconds,loginProcessMs,loginProcessSeconds,dashboardLoadMs,dashboardLoadSeconds,totalMs,totalSeconds
2025-07-13T12:40:06+01:00,11746,11.75,11738,11.74,7749,7.75,31816,31.82
2025-07-13T12:49:10+01:00,2403,2.40,5731,5.73,11969,11.97,20941,20.94
2025-07-13T12:57:53+01:00,2927,2.93,6659,6.66,8965,8.96,19146,19.15
2025-07-13T13:41:25+01:00,2315,2.31,5292,5.29,14107,14.11,22308,22.31
2025-07-13T14:18:46+01:00,3832,3.83,5675,5.68,12178,12.18,22293,22.29
2025-07-13T14:47:06+01:00,2483,2.48,234917,234.92,62026,62.03,300030,300.03
2025-07-13T14:55:09+01:00,3062,3.06,5636,5.64,12619,12.62,21891,21.89
2025-07-13T15:14:03+01:00,3344,3.34,6540,6.54,10632,10.63,21135,21.14
2025-07-13T15:35:14+01:00,2153,2.15,5452,5.45,10665,10.67,18841,18.84
2025-07-13T15:46:53+01:00,3773,3.77,5404,5.40,10229,10.23,19977,19.98
